gene,GSE55030_p_val,GSE71797_fc_1,GSE71797_fc_2,GSE82223_fc_1,GSE86532_fc_1,GSE92574_fc_1,GSE110903_fc_1
AKT3,0,0,0,0,0,0,837.1082048
ADSS,0.012369795,1.972786158,1.314806035,0,0.676503933,0,0.607191848
HNRNPU-AS1,0,0.600848128,1.470218113,0.563055852,0.001862066,0,0.755856625
HNRNPU,0.001786409,0.790639467,1.488935395,0,0.005116279,0,0.667840455
SMYD3,0.464350024,0.912745285,0.64228692,0,0,0,0.558442716
TFB2M,0.151416675,0.696525941,1.756409327,0,0.256596646,0,0.48457311
AHCTF1,0.013791393,1.038240501,1.701733644,0,0.059114939,0,0.619417217
ZNF695,0.062076916,0,0,0,0.090970518,0,0.249994427
ZNF670,0,0,0,0,0.088903742,0,0.360641639
ZNF669,0.003592316,0,0,0,0.057321565,0,0.666357585
ZNF124,0.069677378,0.649958727,1.042753122,0,0.057993299,0,0.171496886
RP11-488L18.10,0,0,0,0.770910014,0,0,2.6223707
RP11-488L18.4,0,0,0,0,0,0,1.174257029
ZNF496,0,0,0,0,0.028425137,0,0.524738537
AHCYP8,0,0,0,0,0,0,6.87E-10
SH3BP5L,0.016386394,0.9016904,1.052462945,0,0.977411907,0,0.555419879
ZNF692,0.053837306,1.757712648,0.663736722,0,0.768033135,0,1.062891362
ACP1,0.09574407,1.277713734,1.652755644,0,0.597629696,0,1.189845432
TRAPPC12,0,1.781104234,1.144380923,0,0.061123472,0,0.819372923
RNASEH1-AS1,0.152211005,0,0,0,0,0,0.189476143
RPS7,0.008205527,1.924095823,1.070953702,0,0.58653433,9.378199738,0.834935624
RNF144A,0,0,0,0,0,0,0.435489843
ID2,0.010646615,0,0,0,0.001481052,0,7.111046333
RP11-734K21.2,0,0,0,0,0,0,0.198261077
ASAP2,0.051443829,2.613298669,1.253725658,0,0.02509717,0,0.89645983
CPSF3,0.009447086,1.95833439,0.993023936,0,0,0,0.352691251
IAH1,0.03831761,1.379558295,1.140111848,0,0.015582889,0,0.957247512
RP11-214N9.1,0,0,0,0,0,0,0.306778001
TAF1B,0.067428889,1.276124605,1.610714447,0,0.009737813,0,0.944981488
GRHL1,0,0.151513916,0.662319563,0,0.092476914,0,0.562171147
KLF11,0,0,0,0,0.104594615,0,0.142865979
RP11-254F7.4,0,0,0,0,0,0,0.098457324
RRM2,0.016849512,0,0,0,0.850503275,0,0.443400024
HPCAL1,0.042169376,0,0,0,0,0,0.727123484
RP11-320M2.1,0,0,0,0.027417532,0,0,0.046309862
AC007249.3,0,0,0,0,0,0,0.055234562
RN7SL832P,0,0,0,0,0,0,0.080621448
ATP6V1C2,0.032457926,0,0,0,0,0,2.541675618
PQLC3,0.066099247,2.861814942,0.326808865,0,0,0,0.173673629
GREB1,0,0,0,0,0,0,4.263894228
LPIN1,0.001573073,0,0,0,0,0,0.815661281
TRIB2,0,0,0,0,0,0,38.28883449
FAM84A,0,0,0,0,0.101112715,0,49.99858756
DDX1,0.002494957,1.243406879,1.330976464,0,0.368712356,0,0.955181547
GEN1,0,0,0,0,0.048697768,0,0.53491955
KCNS3,0,0,0,0,0,0,3.158308235
RHOB,0.006979596,0.588948468,1.13041366,0,0,0,0.229184124
KLHL29,0,0,0,0,0,0,0.952815246
UBXN2A,0.564001364,1.546324214,1.642741438,0,0.01534093,0,0.750647036
FKBP1B,0,0.328503895,37.75985931,0,0.006738019,0,16.17641966
FAM228B,0,0,0,0,0.641614378,0,0.256868608
NCOA1,0.116344968,1.444635513,0.328755415,0,0,0,0.876317475
CENPO,0.018513539,0,0,0,0.447334916,0,1.164007662
RP11-443B20.1,0,0,0,0,0,0,1.124799616
RAB10,0.088363226,1.276717368,0.793789362,0,0,0,0.649749683
GAREML,0,0,0,0,0.009490928,0,0.270198777
HADHB,0.016755729,1.262736207,0.704886896,0,0,0.673348696,0.89905519
EPT1,0,0.567808813,1.593976297,0,0.705136448,0,1.142837576
C2orf70,0,0,0,0,0,0,20.52000785
KCNK3,0,0,0,0,0,0,1116.009836
SLC35F6,0.007101991,4.056612624,0.820543551,0,0,0,2.731550237
CENPA,0.003987265,0,0,0,0.015044858,0,0.91142828
DPYSL5,0,0,0,0,0.106078104,0,0.810700317
MAPRE3,0,0,0,0,0,0,2.039997495
TMEM214,0.020791763,2.317729253,0.765465242,0,0,0,1.19512839
AGBL5,0.162477013,1.704809241,1.145618565,0,0.04643949,0,0.483637075
KHK,0.017680191,0,0,0,0,0,0.1292517
ABHD1,0,0,0,0,0,0,0.171312597
ATRAID,0.143699606,2.390402816,0.974537592,0,0,0,0.401922167
CAD,0.019714837,0,0,0,0.709809545,0,0.400166297
AC074117.10,0,0,0,0.535889147,0,0,1.168598904
SNX17,0.004115801,1.86684436,0.913064116,0,0,0,0.918697989
NRBP1,0.01360001,5.023119893,0.523824051,0,0,0,0.441151649
KRTCAP3,0.541916382,4.89E-08,1.219830176,0,0.363842723,0,0.225118103
ZNF512,0.199168073,0.751347079,1.152859809,0,0.018172878,0,0.596639187
GPN1,0.532494179,2.220889229,1.240872312,0,0.207252481,0,0.696360701
SLC4A1AP,0.001359162,1.823990605,1.123565718,0,0.236251723,0,0.540095456
MRPL33,0.00283453,1.534786503,0.72848915,0,0,0,0.899256396
BRE,0,1.986797831,0.677981642,0,0.266623081,0,0.345271571
FOSL2,0,8.130990043,0.430657834,0,0,0,0.219941226
PPP1CB,0.013733134,1.78655656,1.160909965,0,0.602955063,0,1.625629232
WDR43,0.02279648,1.961937274,1.532076534,0,0.453168571,0,0.798498518
CLIP4,0,11.80836279,2.540630162,0,0.003607818,0,2.870279028
YPEL5,0.050656952,2.371098775,0.883540791,0,0.785969654,0,0.957157966
LBH,0,0,0,0,0,0,0.270626343
LCLAT1,0.020655212,1.045956094,0.967122753,0,0,0,1.092515822
EHD3,0,0,0,0,0,0,0.800535754
SPAST,0.105867017,1.014669392,1.040354377,0,0.128238544,0,0.700890383
SLC30A6,0.021230155,1.830922443,0.976390259,0,0,0,1.077743049
YIPF4,0.00473967,1.170600804,1.616546363,0,0.07297246,0,1.739817019
BIRC6,0.036718807,1.502730759,0.737920874,0,0,0,1.190781839
TTC27,2.97E-05,2.130048657,1.006783744,0,0,0,0.500661371
LTBP1,0,0,0,0,0.046105082,0,0.720070019
CRIM1,0,8.849092737,12.47149039,0,0.000277672,0,3.700872557
GPATCH11,0.226536044,0,0,0,0.040165038,0,1.308277747
CEBPZOS,0,0,0,0,0,0,1.172178769
NDUFAF7,0.063536069,0,0,0,0,0,0.851196217
QPCT,0,0,0,0,0,0,149.9091433
RMDN2,0,0,0,0,0,0,1.522006026
RPLP0P6,0,0,0,0,0,0,0.786586628
GALM,0,0,0,0,0.007875686,0,0.189249426
GEMIN6,0.219470703,2.688420342,1.337342382,0,0,0,0.640735419
MORN2,0.700235712,1.376043715,1.369533177,0,0,0,0.743645621
AC007246.3,0,0,0,0.603876809,0,0,0.630582272
PKDCC,0,0,0,0,0,0,1.030633845
EML4,0.001739462,1.837206948,0.866550535,0,0.338547228,0,1.66868493
MTA3,0.055906605,2.191803177,0.612387689,0,0,0,0.515572896
AC010883.5,0,0,0,9.97094212,0,0,0.42502472
DYNC2LI1,0.1344271,1.742449268,1.306261055,0,0.056819352,0,0.751819317
PPM1B,0.00031098,1.372845181,1.531801037,0,0.071799961,0,3.876635873
CAMKMT,0,0,0,0,0.087145201,0,0.349897217
AC009236.2,0,0,0,0,0,0,2818259.288
PRKCE,0,0,0,0,0,0,2.041448042
EPAS1,0,0,0,0,0,0,70.13957903
RHOQ,0.087514701,4.224424936,0.876813005,0,0,0,0.847914366
CRIPT,0.045895532,3.826610146,0.795144202,0,0,0,1.048633945
SOCS5,0,0,0,0,0,0,1.787234939
TTC7A,0,0,0,0,0.273031457,0,1.321833418
BCYRN1,0,12.71389061,0.516505092,0,0,0,0.117154551
EPCAM,0.018343368,0.06040018,0.878837737,0,0,0,1.95802467
MSH2,0,0,0,0,0.008065439,0,1.822634915
MSH6,0.003679295,1.816663128,1.347368101,0,0.586093389,0,0.418703038
AC079807.2,0,0,0,0.155383885,0,0,0.732110562
FOXN2,0.06109059,3.928468837,1.418281145,0,0.01992717,0,1.546499282
PPP1R21,0.031173209,0,0,0,0,0,1.502174851
STON1,0,0,0,0,0,0,6.23924121
CHAC2,0.000159826,0,0,0,0,0,0.213672085
ERLEC1,0.525152962,3.300901632,1.154517767,0,0,0,2.43107342
ACYP2,0.006114769,1.7861128,0.32854697,0,0,0,0.680488937
HMGB1P31,0,0,0,0,0,0,1.487645919
SPTBN1,0,0,0,0,0.001390497,0,130.097391
EML6,0,0,0,0,0,0,33.28270139
RPS27A,0.001279063,1.751025828,2.02685317,0,0.03271112,8.068391558,1.733640366
PRORSD1P,0,0,0,0,0.175620899,0,0.551102231
CFAP36,0.060050473,0,0,0,0,0,0.643538393
RP11-554J4.1,0,0,0,0,0,0,0.240048048
CCDC85A,0,0,0,0,0.18199154,0,0.878486413
VRK2,0.08077713,1.045733245,2.301515501,0,0.001846552,0,0.987020845
EIF3FP3,0,0,0,0,0,0,0.516684138
PAPOLG,0,0,0,0,0.009076764,0,1.667556495
REL,0,0,0,0,0.026099498,0,1.685130654
PEX13,0.044428523,1.183063117,0.590728892,0,0,0,1.325321277
KIAA1841,0,0,0,0,0.027870663,0,1.3541307
C2orf74,0,1.29566222,4.818975261,0,0.00596478,0,0.862909322
AHSA2,0,2.540944244,0.386775226,0,0.711804813,0,0.914283356
RP11-355B11.2,0,0,0,0,0,0,1.029426388
COMMD1,0.017819777,1.378175941,1.175282912,0,0,0,0.989107385
AC018462.3,0,0,0,0,0,0,0.901455534
B3GNT2,0.000437878,0.680539239,3.641549089,0,0.116946335,0,0.897441802
EHBP1,0.027502622,0.622727967,2.654557059,0,0.005052935,0,2.725999108
OTX1,0,0,0,0,0.08946926,0,0.379856028
MDH1,0.707293489,0.849636001,1.715244806,0,0.089385486,0,0.758569992
UGP2,0.012937384,1.721956225,1.677588364,0,0.054780913,0,0.901235678
LGALSL,0.00762015,0.121530348,2.363173751,0,0.741591062,0,3.21076977
AFTPH,0.029471922,0.787713983,2.376682917,0,0.000632732,0,3.946015965
SLC1A4,0,0.641954587,14.88627755,0,0.098240291,0,3.826151215
CEP68,0,0,0,0,0.413982744,0,0.15761474
AC007318.5,0,0,0,0,0,0,0.356442989
ACTR2,0.005501612,2.01263551,1.901319598,0,0.050418417,0,2.260916672
MEIS1,0,0,0,0,0,0,0.177286535
ETAA1,0.050789302,0.776307113,1.868880592,0,0.185347863,0,0.565808951
PNO1,0.01107373,2.302379143,1.788583324,0,0.020271321,0,1.176296995
ANTXR1,0,0,0,0,0,0,0.312484119
ANXA4,0.006803575,0.437050993,2.518979649,0,0.01065123,0,0.446879873
GMCL1,0.010814598,0.978853681,1.227490954,0,0.02890825,0,1.384293864
SNRNP27,0.121386722,1.815597614,1.279662812,0,0.003412304,0,1.295322062
MXD1,0,1.33363931,1.562462295,0,0.079490942,0,1.435605302
PCBP1,0.006940197,0.885926099,1.632246141,0,0.757419019,0,1.128800169
PCYOX1,0.008244762,3.687340334,0.356068579,0,0,0,0.90727344
VAX2,0,0,0,0,0,0,4.572032453
ATP6V1B1,0,0,0,0,0,0,3.041750139
OR7E91P,0,0,0,0,0,0,0.334592536
NAGK,0.029484456,1.159712377,0.765059988,0,0.0358284,0,0.690446709
MPHOSPH10,0.045011851,1.207348874,1.850136703,0,0.129787155,0,1.542017295
ZNF638,0.019304403,0.860697172,1.623731592,0,0.005084425,0,1.30211139
ZNF638-IT1,0,0,0,0,0,0,1.905921323
SPR,0.000896187,0.405422641,1.497984955,0,0.319682063,1.242869655,1.456297389
RP11-44N22.3,0,0,0,0,0,0,0.035577522
SMYD5,0.008258939,1.488896274,2.332538952,0,0.013072494,0,0.980614678
CCT7,0.004172754,1.435683869,1.841903777,0,0.32016241,1.168438293,1.189751012
ALMS1,0,0,0,0,0.003107367,0,0.716058946
STAMBP,0.243190817,1.955087328,1.505235148,0,0.013091654,0,1.192847724
DGUOK,0.098336498,1.774335625,1.557301607,0,0.022258741,0,1.042740833
AC073046.25,0,0,0,1.136230611,0,0,1.181162182
TET3,0,0,0,0,0.032447581,0,2.038995519
FNBP1P1,0,0,0,0,0,0,1.178285167
BOLA3-AS1,0,0,0,0.670629531,0.017451553,0,0.775515865
MTHFD2,0.029739622,0.778355917,7.878816817,0,0.109274113,0,0.549080165
WDR54,0.002271414,2.705091922,1.625392504,0,0.065015916,0,0.289980017
INO80B,0.007218377,2.494451889,2.03420223,0,0.525807207,0,0.684049565
WBP1,0.025347262,0.83597944,0.840424194,0,0.045057455,0,0.719719693
TTC31,0,0,0,0,0.054296019,0,1.178769013
HTRA2,0.042873206,0,0,0,0.001130785,0,0.578872035
DOK1,0,0,0,0,0.009248964,0,0.295523416
SEMA4F,0,0,0,0,0,0,0.473792127
HK2,0.00253445,1.025830511,4.987049045,0,0.256322086,0,0.973297157
POLE4,0.120285952,2.315469532,0.61307513,0,0,0,0.354132564
MRPL19,0.022262609,1.188634389,1.608230485,0,0.321230016,0,0.524788501
RP11-342K6.1,0,0,0,0,0,0,1.265121538
RP11-342K6.2,0,0,0,0,0,0,1.726293169
TMSB10,0.019071117,0.810814123,8.599599753,0,0.008198548,39.94046755,0.286192265
KCMF1,0.000366951,1.113721531,5.44018187,0,0.003269171,0,1.325963211
ELMOD3,0,2.417914732,0.583891795,0,0,0,1.02855634
MAT2A,0.015851176,1.36969732,1.003660449,0,0.918388272,0,1.215775486
VAMP8,0.786309783,0.390298651,0.956398518,0,0,0,0.029352064
VAMP5,0,0,0,0,0.0431148,0,0.075721664
RNF181,0.389275607,2.211015744,1.053290157,0,0,1.454003943,0.75470318
USP39,0.047567016,1.462866931,1.128149003,0,0.263717692,0,0.640249979
ATOH8,0,0,0,0,0,0,458.2765943
PTCD3,0.085999225,0,0,0,0.128132652,0,0.818080323
RP11-301O19.1,0,0,0,0,0,0,0.086248528
MRPL35,0.261053097,1.394982195,1.501235021,0,0.035452053,0,0.623319639
KDM3A,0.078905966,1.366092892,1.128789488,0,0.010614223,0,1.449069715
RMND5A,0.000951263,0.562620832,1.028366635,0,0,0,0.804549327
LINC00152,0,279.8362038,0.287933945,0,0,0,0.044055251
MTATP8P2,0,0,0,0,0,0,1.32116115
THNSL2,0.028786224,0,0,0,0,0,0.000616282
AC062029.1,0,0,0,0.053226786,0,0,0.142800459
RPIA,0.012195064,0,0,0,0.066260924,0,0.751845002
RP11-575H3.1,0,0,0,0,0,0,3.34E-08
ZNF2,0,0,0,0,0.264984048,0,0.653573985
AC092835.2,0,0,0,0,0,0,0.02505676
PROM2,0.171202284,0.012020403,0.566132885,0,0.291172066,0,0.535794621
FAHD2A,0.005420093,1.768354731,1.084920727,0,0.009635859,0,0.919327107
AC009237.8,0,0,0,0,0,0,0.261771597
RP11-440D17.4,0,0,0,0,0,0,0.24812445
FAHD2CP,0,0,0,0,0.705317592,0,0.671107153
STARD7-AS1,0,0,0,0,0,0,1.161737507
CIAO1,0.008456655,2.909076771,0.868039495,0,0,0,0.986230799
NCAPH,0.002339101,0,0,0,0.301291582,0,0.377814277
ARID5A,0,0,0,0,0,0,0.106928818
CNNM4,0,0,0,0,0,0,1.213447102
CNNM3,0,0,0,0,0,0,1.691653323
ANKRD36,0,0,0,0,0,0,0.556119815
COX5B,0.00436131,0.927424432,1.7142723,0,0.259471684,0,0.444615578
LINC01125,0,0,0,0,0,0,0.703336079
HMGN1P36,0,0,0,0,0,0,1.06241948
INPP4A,0,2.723047926,0.620729346,0,0.299933889,0,1.034854302
UNC50,0.05521661,1.591176647,1.342788317,0,0.417289362,0,1.16276105
C2orf15,0,0,0,0,0,0,0.376026112
LIPT1,0,0,0,0,0,0,0.569215191
MRPL30,0.034412313,1.084403967,0.760594515,0,0,0.902601246,0.368830678
EIF5B,0.023358042,1.377439991,1.189470126,0,0.765988304,0,0.691648163
RP11-527J8.1,0,0,0,0,0,0,1.845768221
PDCL3,0.003449855,0.818163638,1.479036244,0,0.107788101,0,0.746860251
NPAS2,0,0,0,0,0.010077028,0,0.548899276
RPL31,0.001716979,1.818173125,0.904136613,0,0,1.531672837,0.927410914
CNOT11,0.000321108,1.241820634,1.257033006,0,0.655129797,0,1.36378073
MAP4K4,0.011428646,5.77285857,0.406248708,0,0,0,0.639346709
IL1R1,0,0,0,0,0,0,5.793932688
SLC9A2,0.00826689,0,0,0,0,0,2.502230047
TMEM182,0,0,0,0,0,0,0.336606708
MRPS9,0.001437653,1.277885182,1.034310531,0,0,0,0.75418939
C2orf49,0.082420832,4.183095335,0.844471259,0,0.044229928,0,1.492913115
NCK2,0,14.78663133,0.26958659,0,0,0,1.66368465
SULT1C3,0,0,0,0,0,0,6.075281587
GCC2,0.010987154,2.207185623,0.605108253,0,0,0,9.454402626
LIMS1,0.127951868,6.480141527,1.299121034,0,0.039138213,0,10.25843282
RANBP2,0.009023566,1.092160155,0.702589837,0,0,0,1.063437336
CCDC138,0.440286344,0,0,0,0.733970284,0,0.513196264
AC073415.2,0,0,0,0,0,0,0.676053337
SH3RF3,0,0,0,0,0,0,9.166527862
SOWAHC,0,9.501849676,0.357480591,0,0,0,0.996505149
LINC01123,0.000114461,0,0,0,0.010661174,0,0.589049025
ACOXL,0,0,0,0,0,0,8.039012457
BCL2L11,0,0,0,0,0,0,0.146434364
EEF1E1P1,0,0,0,0,0,0,0.228361596
MERTK,0,0,0,0,0.130676014,0,4.316202701
TMEM87B,0.034626428,0.374611155,1.941923227,0,0.155001193,0,3.347152564
ZC3H6,0,0,0,0,0.066258254,0,1.229822757
TTL,0.003276997,3.540518831,0.769124865,0,0.794430736,0,1.717768602
POLR1B,0.000253242,0,0,0,0,0,0.711524939
CHCHD5,0.070734734,0.751248069,0.707155273,0,0,0,0.424063951
SLC20A1,0.003634598,7.731876438,0.612271647,0,0,0,0.780336899
IL36RN,0,0,0,0,0,0,0.020360617
IL1RN,0,1.403600682,0.001606651,0,0,0,0.031187823
PSD4,0.003648249,0.045010929,0.364484342,0,0,0,0.3867346
CBWD2,0.02112847,0.484394302,1.323881768,0,0.064771744,0,0.326808412
FOXD4L1,0,0,0,0,0.059411483,0,0.354657896
WASH2P,0.055334262,0,0,0,0.265793386,0,0.578807528
RABL2A,0,0,0,0,0,0,0.349751077
RP11-395L14.17,0,0,0,0,0,0,1.542445637
ACTR3,0.003200247,2.746844281,1.041414629,0,0,0,0.886439618
DDX18,0.010190082,4.391119303,0.618307904,0,0,0,0.640428159
AC009404.2,0,0,0,0.13381372,0,0,0.358520239
INSIG2,0.000758635,3.780810599,0.153681558,0,0,0,0.625953926
STEAP3,0.009798368,0,0,0,0,0,2.320114966
DBI,0.197718425,0.226759243,3.423105604,0,0,0,3.329747817
TMEM177,0.026716257,0,0,0,0,0,0.644058454
PTPN4,0,0,0,0,0,0,0.549086077
EPB41L5,0.064306237,1.265978779,0.264723995,0,0,0,0.653731542
RALB,0.004971425,3.520749487,0.28125015,0,0,0,0.551268916
INHBB,0,0,0,0,0.002128772,0,0.994579412
NIFK-AS1,0.034303593,0,0,0,0,0,0.440541723
TSN,0.007387567,2.4834607,0.716356322,0,0,0,0.749423091
AC068282.3,0,0,0,0,0,0,0.511596665
SFT2D3,0,0,0,0,0,0.216088013,0.988393488
RP11-395A13.2,0,0,0,0,0,0,0.454943818
UGGT1,0.001855813,6.425324862,0.492409241,0,0,0,1.592969375
RAB6C,0.076876243,0.597027774,0.172026485,0,0,0,0.104393775
AC018804.3,0,0,0,0,0,0,1.270706748
MZT2B,0.026974121,1.055412296,0.524330339,0,0,0,0.587908274
IMP4,0.000713462,4.916025927,0.563168456,0,0,0.788241688,0.47692187
PTPN18,0.020177245,0,0,0,0,0,0.749087507
CYP4F30P,0,0,0,0,0.636239022,0,0.120480139
FAR2P3,0,0,0,0,0,0,0.20638026
AMER3,0,0,0,0,0.004816015,0,209.8933786
ARHGEF4,0,0,0,0,0,0,8.864320544
PLEKHB2,0.003679428,1.200845159,1.233204841,0,0,0,1.456840474
FAR2P4,0,0,0,0,0,0,0.367499072
TUBA3D,0,0,0,0,0,0,2.543321747
AC093838.4,0,0,0,0,0,0,0.734361305
CCDC74A,0,0,0,0,0.012938626,0,3.364258114
C2orf27A,0,0,0,0,0.051925242,0,0.542767687
MGAT5,0.008504951,3.829031218,0.301143986,0,0,0,0.747496108
CCNT2,0.040632156,0.965478448,0.614500308,0,0,0,1.036095297
RAB3GAP1,7.41E-05,3.434150559,0.50446507,0,0,0,1.053740374
R3HDM1,0,0,0,0,0,0,0.716405179
UBXN4,0.052316666,1.45322999,0.802933159,0,0,0,1.505026366
DARS-AS1,0,0,0,0,0,0,0.365892307
HNMT,0,0,0,0,0.002740357,0,58.90698684
SPOPL,0.012819789,1.156446078,0.794188864,0,0,0,1.217007339
ACVR2A,0,0,0,0,0,0,1.462992012
MBD5,0,0,0,0,0,0,0.839566595
EPC2,0.068462641,0,0,0,0.479969552,0,1.240088533
KIF5C,0,0,0,0,0,0,5.213137322
LYPD6B,0,0,0,0,0,0,1.904272924
LYPD6,0,0,0,0,0,0,1.821215997
RIF1,0.009265789,1.929038954,1.274285543,0,0.541769033,0,0.744994176
FMNL2,0,0,0,0,0,0,16.35837091
ARL6IP6,0.748735458,0,0,0,0.162504635,0,0.767513049
KCNJ3,0,0,0,0,0.010783957,0,51.62594877
GPD2,0.002975414,1.601957773,0.365883788,0,0,0,0.453277108
PKP4,0.0003289,3.302430942,0.569650855,0,0,0,0.346504434
DAPL1,0,0,0,0,0.005804066,0,4184687.549
TANC1,0.02123643,3.937926634,0.108239495,0,0,0,0.33967238
BTF3L4P2,0,0,0,0,0,0,0.390660737
AC009506.1,0,0,0,0.351306779,0,0,0.257757249
Mar-07,0.165430111,2.295920469,0.673896679,0,0,0,1.045536577
TANK,0.062150911,3.907195397,0.808870922,0,0,0,1.016968277
PSMD14,0.016220922,3.330393431,0.877025193,0,0,0,1.102405342
SLC4A10,0,0,0,0,0,0,14.15613528
GCA,0.970823905,0,0,0,0,0,0.283160116
RP11-452N17.1,0,0,0,0,0,0,1.417136464
AC019181.2,0,0,0,62.81662973,0,0,10.67670924
AC013463.2,0,0,0,0,0,0,7.380717257
AC009495.2,0,0,0,0,0,0,1.065274244
CERS6,0.002110693,0.670480343,0.64422784,0,0,0,1.125314572
NOSTRIN,0.735247936,0,0,0,0,0,0.097878351
BBS5,0.093900824,0,0,0,0,0,0.335127331
PPIG,0.006394775,2.098743741,0.507498593,0,0,0,0.752599058
PHOSPHO2,0.340993743,1.163545267,0.293007758,0,0,0,1.232475251
KLHL23,0.02450804,0,0,0,0,0,0.762926114
SSB,0.008514791,3.560174014,0.486544383,0,0,0,0.682914752
UBR3,0.006595723,1.22711885,0.69895294,0,0,0,1.607378281
EIF2S2P4,0,0,0,0,0,0,0.690267976
AC007405.6,0,0,0,0.478681489,0,0,8.415579577
ERICH2,0,0,0,0,0.787522551,0,162007151.7
GAD1,0,0,0,0,0,0,7.697032021
GORASP2,0.124272356,3.715532643,0.611431465,0,0,0,1.536345928
DCAF17,0,3.027048054,0.802545043,0,0,0,0.750624764
CYBRD1,0,0,0,0,0,0,1110223.962
DYNC1I2,0.018037566,2.501703908,0.679650253,0,0,0,0.989292949
HAT1,0.063042491,1.910074381,0.799631958,0,0,0,0.710633306
METAP1D,0,0,0,0,0,0,0.671131275
DLX1,0,0,0,0,0.010089232,0,3.870666504
ITGA6,0.019397808,32.4769813,0.125856407,0,0,0,1.952149169
PDK1,0.035095872,4.750361024,0.617673357,0,0,0,0.37848908
pk,0,0,0,0,0,0,4.246490706
CDCA7,0.000655361,0,0,0,0.105538685,0,0.26559149
RP11-394I13.2,0,0,0,0,0,0,0.529113982
SCRN3,0.095390278,3.340168054,0.424047631,0,0,0,1.236567301
AC010894.3,0,0,0,0.113306964,0,0,0.185103716
H3F3AP4,0,0,0,0,0.006919932,0,0.836166587
AC096649.1,0,0,0,0,0,0,0.062256606
MTX2,0.03930583,2.152011352,0.601614269,0,0,0,0.902193084
HNRNPA3,0.021029814,2.484048779,0.489210087,0,0,0,0.996183886
AGPS,0.096971303,4.078365919,0.804588258,0,0,0,0.659152015
RBM45,0.026569201,2.224966877,0.482636455,0,0,0,0.443576941
OSBPL6,0,0,0,0,0.087587811,0,0.243566915
DFNB59,0,0,0,0,0,0,0.277354742
PLEKHA3,0.029285504,2.561692616,0.888884423,0,0,0,0.500820532
RP11-65L3.4,0,0,0,0,0,0,1.893595173
RP11-65L3.2,0,0,0,0,0,0,1.698441485
RP11-171I2.5,0,0,0,0,0,0,0.530780474
SCHLAP1,0,0,0,0,0,0,0.062794839
UBE2E3,0.008159168,0.173558944,1.330290004,0,0.055026897,0,0.208294187
SSFA2,0.053807771,0.910438484,0.386040643,0,0.4314476,2.132277638,0.235143922
DNAJC10,0.012942668,0.972353093,3.956106114,0,0.036818164,1.090939473,3.796189589
NUP35,0.013272025,0,0,0,0.43693995,0,0.48464083
ZC3H15,0.21458096,2.604205062,1.488091633,0,0.567210472,0,0.79368469
ITGAV,0.087556762,2.258372736,1.535209384,0,0.316864229,0,0.566111422
FAM171B,0,0,0,0,0.00796556,0,126736222.2
GULP1,0.032520659,0.488961703,0.327633392,0,0,0,0.123172295
WDR75,0.021792654,1.813969437,0.842014,0,0.095526559,0,0.435757115
ASNSD1,0.170799356,1.015195753,1.33745467,0,0.419813297,0,0.494153537
PMS1,0.211486276,1.606705548,1.802134944,0,0.026188406,0,0.47772928
HNRNPCP2,0,0,0,0,0,0,0.447246001
INPP1,0,0,0,0,0,0,397203616.1
MFSD6,0.03582394,0.565144309,0.901308694,0,0,0,0.482831676
AC093388.3,0,0,0,0,0,0,0.22031994
NAB1,0,0,0,0,0.000973692,0,0.963163495
GLS,0.012837676,2.052486008,2.463973732,0,0.081419016,0,1.149816691
MYO1B,0,18.57939874,1.088246033,0,0.067306191,0,1.852177554
NABP1,0.059328442,0,0,0,0,0,0.090441565
SLC39A10,0.010006222,0.720789196,0.787095903,0,0,0,0.474830678
AC020571.3,0,0,0,3.654592525,0,0,2.566983945
CCDC150,0,0,0,0,0.044465981,0,0.450311652
COQ10B,0.09756962,1.48951897,1.117561631,0,0,0,0.844448415
HSPE1,0.002177695,0.864958119,0.942581174,0,0,6.84306848,0.389342958
MOB4,0.090282431,0.510552436,1.932633221,0,0.141717096,0,1.51546868
MARS2,0.012056551,0,0,0,0.499569122,1.357931935,0.229373786
C2orf69,0.088824678,1.519212007,1.180620561,0,0,0,0.63858967
C2orf47,0,1.309569844,1.229953822,0,0.617453674,0.586428924,0.739196015
SPATS2L,0,2.662148085,2.613882827,0,0.075603307,0,1.583926819
SGOL2,0,0,0,0,0,0,0.581997604
AOX1,0,0,0,0,0.069708397,0,299674799
BZW1,0.001583966,1.600775046,0.692702554,0,0.071977346,7.094260841,0.602329149
NIF3L1,0.388630144,1.302838753,1.65987003,0,0.477542711,0,0.580635312
HNRNPA1P35,0,0,0,0,0,0,0.323586232
NDUFB3,0.0392411,1.482584087,0.960161264,0,0,0,0.788301481
CFLAR,0.099456715,1.369324995,0.961123801,0,0.239943904,0,1.459699267
CASP10,0,0,0,0,0,0,2.153964428
CASP8,0.021532436,6.783075637,0.399939012,0,0,0,0.612680406
STRADB,0.375344445,2.423110316,0.499494073,0,0,0,0.158865652
FZD7,0,0,0,0,0,0.389626497,1.16668294
NOP58,0.002659209,1.254834691,1.490130848,0,0.691939528,0.782618774,0.472756679
BMPR2,0,1.025941198,0.331409673,0,0,0,1.171763404
FAM117B,0,0,0,0,0,0,1.432856525
CARF,0,0,0,0,0.149218316,0,0.269955764
NBEAL1,0,1.474951991,0.579317032,0,0.153280634,0,0.558582346
AC011737.2,0,0,0,0,0,0,1.056870353
